ASC_CODE,ASC_NAME,Region,City,Team Quantity,Job Completion Capacity
7381125,ATASER ELEKTRİKLİ VE ELEKTRONİK EV ALETLERİ ISITMA SOĞUTMA SİSTEMLERİ LTD.ŞTİ,İSTANBUL,İSTANBUL,11,4
2207663,ATASER BUYUKCEKMECE,İSTANBUL,İSTANBUL,8,4
7397528,MAKSA ELEKTRONIK OTO. INSAAT VE MEDIKAL CIHAZLAR TIC. VE SAN. LTD,İSTANBUL,İSTANBUL,34,3
5931712,ANKASER ELEKTRONİK SERVİS HİZMETLERİ TİC. LTD.,İSTANBUL,İSTANBUL,20,4
7325488,HTS,İSTANBUL,İSTANBUL,2,4
3368175,GARANTI SERVIS DTM PAZARLAMA SERVIS HIZMETLERI SAN. VE TIC.,İSTANBUL,İSTANBUL,15,4
3864716,MURAT KARADAG ELEKTRONIK TICARET LIMITED SIRKETI,İSTANBUL,İSTANBUL,19,4
3367403,KOÇAK ELEKTRONİK,İSTANBUL,İSTANBUL,5,3
7381124,DST ELEKTRONİK VE İLETİŞİM,İSTANBUL,İSTANBUL,8,4
7079978,GÜNGÖR TEKNİK - EMRE GÜNGÖR,İSTANBUL,TEKİRDAĞ,6,4
3367739,POYRAZ TEKNİK,İSTANBUL,TEKİRDAĞ,2,4
7072286,LİDER TEKNİK / ONDER SIVACI,İSTANBUL,EDİRNE,2,4
3367743,UĞUR ELEKTRONİK,İSTANBUL,ÇANAKKALE,6,7
4214024,ATEŞ ELEKTRONİK,İSTANBUL,EDİRNE,4,4
7357843,UĞUR ELEKTRONİK - ŞUBE,İSTANBUL,ÇANAKKALE,9,4
7077448,BİGA DRONE HAVACILIK VE TEKNOLOJİ LTD.,İSTANBUL,ÇANAKKALE,2,4
2278099,ABC SERVİS HİZMETLERİ LTD.,İSTANBUL,BURSA,30,2.5
7077738,HAKAN EMİR KUMRU,İSTANBUL,BURSA,2,4
4493936,ÇINAR ELEKTRONİK,İSTANBUL,BURSA,4,4
5284531,ZAFER TEKNİK,İSTANBUL,BURSA,2,4
5954007,KADIKÖY BEYAZ ESYA VE ELEKTRONIK TIC. LTD.,İSTANBUL,KOCAELİ,8,4
7081903,YILDIRIM TELEVİZYON BAKIM VE ONARIM,İSTANBUL,KOCAELİ,14,4
9366541,ADA EKSEN ELEKTRIK ELEK EV ALETTEKNIK SERVIS HIZM INS GIDA TİC. SAN. LTD,İSTANBUL,SAKARYA,11,5
6435172,NUR-YA ELEKTRONIK / YASIN IBRAHIM SIMSEK,İSTANBUL,DÜZCE,7,4
7077736,DOĞANAY TEKNİK - MUSTAFA DOĞANAY,İSTANBUL,YALOVA,3,4
